Timestamp: 2019-05-25 22:34:05, Steps: 14528, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 22:34:28, Steps: 27376, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 22:34:54, Steps: 42560, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 22:35:15, Steps: 54640, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 22:35:41, Steps: 69952, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 22:36:08, Steps: 86160, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 22:36:33, Steps: 100768, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 22:36:58, Steps: 115568, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 22:37:23, Steps: 129952, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 22:37:51, Steps: 147040, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-25 22:38:14, Steps: 160128, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 22:38:35, Steps: 172688, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 22:38:57, Steps: 186000, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 22:39:20, Steps: 199392, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 22:39:46, Steps: 214752, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-25 22:40:11, Steps: 229168, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 22:40:41, Steps: 246144, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-25 22:41:06, Steps: 260816, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 22:41:26, Steps: 273344, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 22:41:51, Steps: 287856, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 22:42:17, Steps: 302608, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 22:42:38, Steps: 314800, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 22:43:02, Steps: 328176, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 22:43:23, Steps: 340624, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 22:43:47, Steps: 354976, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 22:44:14, Steps: 369840, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 22:44:37, Steps: 383360, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 22:45:01, Steps: 398400, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-25 22:45:23, Steps: 411024, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 22:45:47, Steps: 425312, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 22:46:09, Steps: 438416, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 22:46:33, Steps: 452800, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 22:47:02, Steps: 470160, Score env: -19.0, Env no.: 1
Timestamp: 2019-05-25 22:47:25, Steps: 483296, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 22:47:51, Steps: 498896, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 22:48:18, Steps: 514736, Score env: -20.0, Env no.: 1
Timestamp: 2019-05-25 22:48:41, Steps: 528112, Score env: -21.0, Env no.: 1
Timestamp: 2019-05-25 22:49:02, Steps: 541040, Score env: -21.0, Env no.: 1
