Time	Steps	FPS	Score	Episode Length
 00h 01m 52s	35067	312	  -21.0	3056
 00h 03m 29s	68028	324	  -21.0	3056
 00h 05m 06s	100800	329	  -20.0	3000
 00h 06m 44s	134114	332	  -21.0	3056
 00h 08m 21s	167238	333	  -21.0	3056
 00h 09m 58s	200278	335	  -21.0	3056
 00h 11m 35s	233317	336	  -21.0	3056
 00h 13m 12s	266666	336	  -21.0	3056
 00h 14m 49s	299795	337	  -21.0	3056
 00h 16m 31s	333129	336	  -21.0	3056
 00h 18m 09s	365556	336	  -21.0	3056
 00h 19m 46s	398788	336	  -21.0	3056
 00h 21m 24s	432153	336	  -21.0	3056
 00h 23m 01s	465326	337	  -21.0	3056
 00h 24m 37s	498385	337	  -21.0	3056
 00h 26m 15s	531571	337	  -21.0	3056
 00h 28m 01s	567928	338	  -21.0	3800
 00h 29m 40s	601595	338	  -21.0	3173
 00h 31m 17s	635033	338	  -21.0	3131
 00h 32m 55s	668546	338	  -21.0	3056
 00h 34m 33s	701579	338	  -21.0	3056
 00h 36m 10s	734798	339	  -21.0	3056
 00h 37m 48s	768351	339	  -21.0	3056
 00h 39m 25s	801764	339	  -21.0	3056
 00h 41m 01s	834651	339	  -21.0	3056
 00h 43m 32s	885530	339	  -17.0	7303
 00h 45m 09s	918737	339	  -21.0	3056
 00h 46m 46s	951863	339	  -21.0	3056
 00h 49m 33s	1006536	338	  -21.0	7856
 00h 51m 57s	1055309	338	  -20.0	6883
 00h 54m 47s	1112732	338	  -8.0	8941
 00h 57m 53s	1175279	338	  -6.0	10199
 01h 01m 06s	1240082	338	  1.0	10773
 01h 04m 58s	1317861	338	  10.0	13797
 01h 07m 50s	1375940	338	  10.0	9011
 01h 10m 08s	1422912	338	  -19.0	6374
 01h 13m 39s	1493927	338	  -20.0	12354
 01h 16m 53s	1559512	338	  -9.0	10987
 01h 20m 27s	1630970	338	  4.0	12495
 01h 23m 33s	1691556	337	  -9.0	10002
 01h 28m 27s	1790268	337	  -6.0	19314
 01h 33m 15s	1886830	337	  10.0	18631
 01h 36m 35s	1954114	337	  -3.0	11570
 01h 38m 58s	2002714	337	  -21.0	6847
 01h 41m 45s	2059315	337	  -19.0	8784
 01h 44m 25s	2112860	337	  -21.0	8048
 01h 49m 37s	2216285	337	  2.0	20526
 01h 53m 55s	2301972	337	  -2.0	15661
 01h 57m 29s	2374141	337	  -8.0	12696
 02h 01m 00s	2445422	337	  -11.0	12514
 02h 05m 03s	2526037	337	  -12.0	14492
 02h 11m 19s	2651196	336	  -2.0	25597
 02h 14m 02s	2706225	336	  -20.0	8484
 02h 18m 03s	2787287	337	  -15.0	14431
 02h 22m 57s	2884793	336	  -4.0	18656
 02h 28m 01s	2987008	336	  5.0	19817
 02h 31m 03s	3047804	336	  19.0	9756
 02h 35m 03s	3128066	336	  -12.0	14540
 02h 37m 30s	3177023	336	  20.0	7110
 02h 42m 43s	3282511	336	  -4.0	20573
 02h 45m 05s	3330927	336	  -18.0	6836
 02h 48m 27s	3398656	336	  -11.0	11377
 02h 52m 16s	3474605	336	  -12.0	13477
 02h 56m 53s	3566959	336	  -20.0	16669
 03h 00m 44s	3645025	336	  -11.0	13427
 03h 04m 23s	3718507	336	  -15.0	12403
 03h 09m 28s	3820001	336	  -19.0	18835
 03h 13m 26s	3900154	336	  -2.0	13923
 03h 19m 56s	4030144	336	  -5.0	25140
 03h 24m 49s	4127834	336	  -15.0	17995
 03h 31m 12s	4256336	336	  -14.0	25080
 03h 38m 58s	4411054	336	  3.0	30836
 03h 42m 12s	4476551	336	  -17.0	10522
 03h 47m 23s	4581465	336	  -21.0	19626
 03h 51m 53s	4670427	336	  -21.0	15859
 04h 01m 22s	4860396	336	  -8.0	39075
 04h 06m 49s	4968326	335	  -20.0	19995
 04h 12m 40s	5086411	335	  -6.0	22567
 04h 15m 28s	5143388	336	  19.0	8325
 04h 34m 12s	5516402	335	  0.0	78971
 04h 35m 50s	5549443	335	  -21.0	3056
 04h 37m 26s	5582048	335	  -21.0	3056
 04h 39m 04s	5615401	335	  -21.0	3056
 04h 40m 40s	5648558	335	  -21.0	3056
 04h 42m 17s	5681808	335	  -21.0	3056
 04h 43m 54s	5715239	336	  -21.0	3056
 04h 46m 26s	5766810	336	  -15.0	7584
 04h 50m 49s	5854387	336	  -10.0	16177
 04h 57m 28s	5986896	335	  -9.0	27502
 05h 01m 16s	6063991	335	  -18.0	13715
 05h 04m 56s	6137592	335	  8.0	12888
 05h 08m 00s	6199004	335	  20.0	10208
 05h 15m 55s	6358009	335	  6.0	33960
 05h 20m 23s	6447371	335	  12.0	16700
 05h 25m 24s	6547653	335	  5.0	19722
 05h 32m 27s	6689619	335	  7.0	29584
 05h 35m 08s	6743417	335	  19.0	8185
 05h 39m 08s	6823375	335	  3.0	14868
 05h 56m 51s	7176416	335	  -1.0	78980
 05h 58m 34s	7211758	335	  -21.0	3056
 06h 00m 12s	7245437	335	  -21.0	3056
 06h 01m 49s	7278670	335	  -21.0	3056
 06h 03m 26s	7311840	335	  -21.0	3056
 06h 05m 04s	7344848	335	  -21.0	3056
 06h 06m 41s	7377091	335	  -21.0	3056
 06h 08m 18s	7410871	335	  -21.0	3056
 06h 09m 59s	7445350	335	  -21.0	3408
 06h 11m 38s	7479385	335	  -21.0	3296
 06h 13m 15s	7512838	335	  -21.0	3056
 06h 20m 39s	7660189	335	  -2.0	30985
 06h 24m 30s	7737393	335	  14.0	14034
 06h 28m 31s	7818549	335	  -17.0	14746
 06h 49m 17s	8231613	335	  -1.0	91259
 06h 51m 08s	8268410	335	  -21.0	3056
 06h 52m 57s	8305993	335	  -21.0	3056
 06h 54m 49s	8344405	335	  -21.0	3056
 06h 56m 47s	8384187	335	  -21.0	3056
 06h 58m 40s	8422757	335	  -21.0	3056
 07h 00m 24s	8458725	335	  -21.0	3056
 07h 02m 02s	8492424	335	  -21.0	3056
 07h 03m 40s	8525754	335	  -21.0	3056
 07h 05m 18s	8558821	335	  -21.0	3056
 07h 06m 55s	8591375	335	  -21.0	3056
 07h 08m 33s	8624882	335	  -21.0	3056
 07h 10m 09s	8658260	335	  -21.0	3056
 07h 11m 47s	8691750	335	  -21.0	3056
 07h 16m 23s	8784652	336	  -18.0	17589
 07h 23m 20s	8923022	335	  -6.0	28927
 07h 26m 39s	8990337	335	  14.0	11486
 07h 31m 49s	9095128	335	  -10.0	20615
 07h 37m 18s	9203849	335	  -8.0	21479
 07h 41m 46s	9294309	335	  -12.0	17093
 07h 45m 48s	9375969	335	  12.0	14955
 07h 51m 09s	9482640	335	  3.0	20805
 07h 59m 11s	9643585	335	  -4.0	34568
