	Timestamp	Steps	Score	Env no.
 2019-05-25 22:34:05	14528	  -21.0	1
 2019-05-25 22:34:28	27376	  -21.0	1
 2019-05-25 22:34:54	42560	  -20.0	1
 2019-05-25 22:35:15	54640	  -21.0	1
 2019-05-25 22:35:41	69952	  -21.0	1
 2019-05-25 22:36:08	86160	  -20.0	1
 2019-05-25 22:36:33	100768	  -20.0	1
 2019-05-25 22:36:58	115568	  -20.0	1
 2019-05-25 22:37:23	129952	  -20.0	1
 2019-05-25 22:37:51	147040	  -19.0	1
 2019-05-25 22:38:14	160128	  -21.0	1
 2019-05-25 22:38:35	172688	  -21.0	1
 2019-05-25 22:38:57	186000	  -20.0	1
 2019-05-25 22:39:20	199392	  -20.0	1
 2019-05-25 22:39:46	214752	  -19.0	1
 2019-05-25 22:40:11	229168	  -21.0	1
 2019-05-25 22:40:41	246144	  -19.0	1
 2019-05-25 22:41:06	260816	  -20.0	1
 2019-05-25 22:41:26	273344	  -21.0	1
 2019-05-25 22:41:51	287856	  -21.0	1
 2019-05-25 22:42:17	302608	  -20.0	1
 2019-05-25 22:42:38	314800	  -21.0	1
 2019-05-25 22:43:02	328176	  -21.0	1
 2019-05-25 22:43:23	340624	  -21.0	1
 2019-05-25 22:43:47	354976	  -20.0	1
 2019-05-25 22:44:14	369840	  -20.0	1
 2019-05-25 22:44:37	383360	  -21.0	1
 2019-05-25 22:45:01	398400	  -19.0	1
 2019-05-25 22:45:23	411024	  -21.0	1
 2019-05-25 22:45:47	425312	  -20.0	1
 2019-05-25 22:46:09	438416	  -21.0	1
 2019-05-25 22:46:33	452800	  -21.0	1
 2019-05-25 22:47:02	470160	  -19.0	1
 2019-05-25 22:47:25	483296	  -21.0	1
 2019-05-25 22:47:51	498896	  -21.0	1
 2019-05-25 22:48:18	514736	  -20.0	1
 2019-05-25 22:48:41	528112	  -21.0	1
 2019-05-25 22:49:02	541040	  -21.0	1
 2019-05-25 22:49:28	556560	  -20.0	1
 2019-05-25 22:49:57	573168	  -20.0	1
 2019-05-25 22:50:19	586592	  -20.0	1
 2019-05-25 22:50:40	599200	  -21.0	1
 2019-05-25 22:51:10	614864	  -20.0	1
 2019-05-25 22:51:36	629328	  -21.0	1
 2019-05-25 22:52:00	643136	  -20.0	1
 2019-05-25 22:52:30	659936	  -20.0	1
 2019-05-25 22:52:56	673792	  -20.0	1
 2019-05-25 22:53:25	691200	  -18.0	1
 2019-05-25 22:53:48	704320	  -21.0	1
 2019-05-25 22:54:14	719712	  -19.0	1
 2019-05-25 22:54:40	734560	  -20.0	1
 2019-05-25 22:55:03	748416	  -21.0	1
 2019-05-25 22:55:27	762336	  -21.0	1
 2019-05-25 22:55:52	777088	  -20.0	1
 2019-05-25 22:56:15	790448	  -21.0	1
 2019-05-25 22:56:38	804224	  -20.0	1
 2019-05-25 22:57:01	817744	  -21.0	1
 2019-05-25 22:57:23	830912	  -21.0	1
 2019-05-25 22:57:53	848416	  -18.0	1
 2019-05-25 22:58:20	863264	  -19.0	1
 2019-05-25 22:58:48	880272	  -20.0	1
 2019-05-25 22:59:11	893376	  -21.0	1
 2019-05-25 22:59:40	910448	  -20.0	1
 2019-05-25 23:00:07	926288	  -18.0	1
 2019-05-25 23:00:34	942304	  -20.0	1
 2019-05-25 23:00:59	957392	  -19.0	1
 2019-05-25 23:01:22	970448	  -21.0	1
 2019-05-25 23:01:44	983552	  -21.0	1
 2019-05-25 23:02:06	996112	  -21.0	1
 2019-05-25 23:02:38	1014656	  -20.0	1
 2019-05-25 23:03:03	1029008	  -21.0	1
 2019-05-25 23:03:26	1043040	  -21.0	1
 2019-05-25 23:03:50	1057344	  -20.0	1
 2019-05-25 23:04:15	1071648	  -21.0	1
 2019-05-25 23:04:38	1085440	  -20.0	1
 2019-05-25 23:05:11	1104672	  -20.0	1
 2019-05-25 23:05:32	1117328	  -21.0	1
 2019-05-25 23:05:57	1131920	  -20.0	1
 2019-05-25 23:06:21	1146048	  -21.0	1
 2019-05-25 23:06:46	1160480	  -21.0	1
 2019-05-25 23:07:08	1173408	  -21.0	1
 2019-05-25 23:07:32	1187648	  -20.0	1
 2019-05-25 23:07:54	1200752	  -21.0	1
 2019-05-25 23:08:20	1215840	  -20.0	1
 2019-05-25 23:08:47	1231600	  -20.0	1
 2019-05-25 23:09:10	1245024	  -20.0	1
 2019-05-25 23:09:34	1258544	  -21.0	1
 2019-05-25 23:09:58	1273184	  -21.0	1
 2019-05-25 23:10:21	1286688	  -21.0	1
 2019-05-25 23:10:45	1300128	  -21.0	1
 2019-05-25 23:11:05	1312208	  -21.0	1
 2019-05-25 23:11:31	1327680	  -20.0	1
 2019-05-25 23:11:55	1342048	  -21.0	1
 2019-05-25 23:12:26	1359552	  -19.0	1
 2019-05-25 23:12:55	1376320	  -18.0	1
 2019-05-25 23:13:17	1389168	  -21.0	1
 2019-05-25 23:13:39	1402304	  -21.0	1
 2019-05-25 23:14:03	1415936	  -20.0	1
 2019-05-25 23:14:24	1428496	  -21.0	1
 2019-05-25 23:14:46	1440960	  -21.0	1
 2019-05-25 23:15:09	1454768	  -20.0	1
 2019-05-25 23:15:31	1467296	  -21.0	1
 2019-05-25 23:15:51	1479408	  -21.0	1
 2019-05-25 23:16:13	1492736	  -20.0	1
 2019-05-25 23:16:36	1505856	  -21.0	1
 2019-05-25 23:17:11	1526224	  -18.0	1
 2019-05-25 23:17:39	1542544	  -20.0	1
 2019-05-25 23:18:05	1558096	  -21.0	1
 2019-05-25 23:18:29	1572288	  -20.0	1
 2019-05-25 23:18:58	1589056	  -19.0	1
 2019-05-25 23:19:24	1604752	  -20.0	1
 2019-05-25 23:19:52	1621120	  -18.0	1
 2019-05-25 23:20:20	1636928	  -19.0	1
 2019-05-25 23:20:42	1649984	  -21.0	1
 2019-05-25 23:21:06	1664064	  -20.0	1
 2019-05-25 23:21:30	1678304	  -20.0	1
 2019-05-25 23:21:54	1692656	  -20.0	1
 2019-05-25 23:22:25	1710848	  -20.0	1
 2019-05-25 23:22:48	1723952	  -21.0	1
 2019-05-25 23:23:12	1738256	  -20.0	1
 2019-05-25 23:23:36	1752336	  -21.0	1
 2019-05-25 23:23:58	1765408	  -21.0	1
 2019-05-25 23:24:24	1780640	  -20.0	1
 2019-05-25 23:24:49	1795248	  -20.0	1
 2019-05-25 23:25:14	1810048	  -21.0	1
 2019-05-25 23:25:40	1825344	  -20.0	1
 2019-05-25 23:26:04	1838848	  -21.0	1
 2019-05-25 23:26:28	1853232	  -20.0	1
 2019-05-25 23:26:55	1869600	  -21.0	1
 2019-05-25 23:27:18	1882992	  -20.0	1
 2019-05-25 23:27:41	1896560	  -21.0	1
 2019-05-25 23:28:07	1911584	  -20.0	1
 2019-05-25 23:28:39	1930688	  -18.0	1
 2019-05-25 23:29:03	1944224	  -21.0	1
 2019-05-25 23:29:28	1959216	  -21.0	1
 2019-05-25 23:29:54	1974720	  -19.0	1
 2019-05-25 23:30:24	1992448	  -21.0	1
 2019-05-25 23:30:46	2005504	  -21.0	1
 2019-05-25 23:31:15	2022528	  -20.0	1
 2019-05-25 23:31:44	2039296	  -19.0	1
 2019-05-25 23:32:09	2053632	  -20.0	1
 2019-05-25 23:32:33	2067456	  -20.0	1
